Manufacture of cider and other fruit wines ,1103,,
Manufacture of other non-distilled fermented beverages ,1104,,
Manufacture of beer ,1105,518,624.9
Manufacture of malt ,1106,,
Manufacture of soft drinks; production of mineral waters and other bottled waters ,1107,687.7,724.1
Manufacture of tobacco products ,12,,
Manufacture of tobacco products ,120,,
Manufacture of tobacco products ,1200,,
Manufacture of textiles ,13,393.6,497
Preparation and spinning of textile fibres ,131,372.6,429.5
Preparation and spinning of textile fibres ,1310,372.6,429.5
Weaving of textiles ,132,384.1,463.6
Weaving of textiles  ,1320,384.1,463.6
Finishing of textiles ,133,,402.4
Finishing of textiles ,1330,,402.4
Manufacture of other textiles ,139,402.3,517.5
Manufacture of knitted and crocheted fabrics  ,1391,,558.1
"Manufacture of made-up textile articles, except apparel",1392,370.6,455.3
Manufacture of carpets and rugs,1393,464.5,
"Manufacture of cordage, rope, twine and netting",1394,306.3,350.5
"Manufacture of non-wovens and articles made from non-wovens, except apparel",1395,,
Manufacture of other technical and industrial textiles,1396,,456.9
Manufacture of other textiles n.e.c.,1399,490.7,566.8
Manufacture of wearing apparel ,14,,522.2
"Manufacture of wearing apparel, except fur apparel ",141,,
Manufacture of leather clothes  ,1411,,
Manufacture of workwear ,1412,,
Manufacture of other outerwear,1413,,
Manufacture of underwear ,1414,,
Manufacture of other wearing apparel and accessories ,1419,,228.8
Manufacture of articles of fur ,142,,
Manufacture of articles of fur ,1420,,
Manufacture of knitted and crocheted apparel ,143,,
Manufacture of knitted and crocheted hosiery ,1431,295,325.5
Manufacture of other knitted and crocheted apparel,1439,,
Manufacture of leather and related products ,15,393.9,423
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur ",151,,441.6
Tanning and dressing of leather; dressing and dyeing of fur ,1511,,432.9
"Manufacture of luggage, handbags and the like, saddlery and harness ",1512,,446
Manufacture of footwear ,152,395.9,401.3
Manufacture of footwear ,1520,395.9,401.3
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,404.5,460.6
Sawmilling and planing of wood ,161,390.9,451.9
Sawmilling and planing of wood ,1610,390.9,451.9
"Manufacture of products of wood, cork, straw and plaiting materials ",162,406.1,461.6
Manufacture of veneer sheets and wood-based panels,1621,461,526.5
Manufacture of assembled parquet floors ,1622,,
Manufacture of other builders' carpentry and joinery ,1623,399.8,450.3
Manufacture of wooden containers  ,1624,389.1,530.1
"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials ",1629,327.3,386.2
Manufacture of paper and paper products ,17,526.7,648
"Manufacture of pulp, paper and paperboard ",171,584.1,631.5
Manufacture of pulp  ,1711,,
Manufacture of paper and paperboard ,1712,584.1,631.5
Manufacture of articles of paper and paperboard ,172,507.8,650.3
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1721,512.4,672.9
Manufacture of household and sanitary goods and of toilet requisites ,1722,605.5,731.1
Manufacture of paper stationery ,1723,414.1,429.5
Manufacture of wallpaper ,1724,,517.1
Manufacture of other articles of paper and paperboard n.e.c. ,1729,487.6,615.7
Printing and reproduction of recorded media ,18,479.1,569.1
Printing and service activities related to printing ,181,476.4,566.9
Printing of newspapers ,1811,,
Other printing ,1812,477.8,564.1
Pre-press and pre-media services,1813,484.5,661.3
Binding and related services  ,1814,399.3,444.5
Reproduction of recorded media,182,,778.9
Reproduction of recorded media,1820,,778.9
Manufacture of coke and refined petroleum products ,19,881.1,897.4
Manufacture of coke oven products ,191,,
Manufacture of coke oven products ,1910,,
Manufacture of refined petroleum products ,192,881.1,897.4
Manufacture of refined petroleum products ,1920,881.1,897.4
Manufacture of chemicals and chemical products ,20,604,709.3
"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms ",201,641.4,743.4
Manufacture of industrial gases ,2011,,967
Manufacture of dyes and pigments ,2012,,795.8
Manufacture of other inorganic basic chemicals ,2013,,892.3
Manufacture of other organic basic chemicals ,2014,644.6,770.1
Manufacture of fertilisers and nitrogen compounds,2015,652.6,679
Manufacture of plastics in primary forms,2016,512.2,561.3
Manufacture of synthetic rubber in primary forms  ,2017,,
Manufacture of pesticides and other agrochemical products ,202,,842.9
Manufacture of pesticides and other agrochemical products ,2020,,842.9
"Manufacture of paints, varnishes and similar coatings, printing ink and mastics ",203,492.5,628.6
"Manufacture of paints, varnishes and similar coatings, printing ink and mastics ",2030,492.5,628.6
"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations ",204,476,618
"Manufacture of soap and detergents, cleaning and polishing preparations ",2041,562.6,690.7
Manufacture of perfumes and toilet preparations ,2042,424.5,502.8
Manufacture of other chemical products ,205,657.5,794.7
Manufacture of explosives ,2051,,
Manufacture of glues,2052,387.2,486.2
Manufacture of essential oils  ,2053,,
Manufacture of other chemical products n.e.c.,2059,756.3,856.9
Manufacture of man-made fibres ,206,,413.7
Manufacture of man-made fibres ,2060,,413.7
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,680.1,873.1
Manufacture of basic pharmaceutical products,211,598.3,707.5
Manufacture of basic pharmaceutical products ,2110,598.3,707.5
Manufacture of pharmaceutical preparations ,212,697.5,904.6
Manufacture of pharmaceutical preparations  ,2120,697.5,904.6
Manufacture of rubber and plastic products ,22,438.2,538.1
Manufacture of rubber products ,221,472.5,547.7
Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres ,2211,500.1,549.3
Manufacture of other rubber products ,2219,460.5,546.8
Manufacture of plastics products ,222,425,536.2
"Manufacture of plastic plates, sheets, tubes and profiles ",2221,518.8,573.9
Manufacture of plastic packing goods  ,2222,422.3,581.1
Manufacture of builders? ware of plastic ,2223,363.2,440.4
Manufacture of other plastic products ,2229,453.9,573
Manufacture of other non-metallic mineral products ,23,473.1,554.4
Manufacture of glass and glass products,231,477.4,579
Manufacture of flat glass ,2311,,
Shaping and processing of flat glass ,2312,404.1,514.5
Manufacture of hollow glass ,2313,650.3,726.1
Manufacture of glass fibres ,2314,437.5,494.6
"Manufacture and processing of other glass, including technical glassware ",2319,,
