EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
3M UNITED KINGDOM PUBLIC LIMITED COMPANY,"3m, Centre, Cain Road,
Bracknell,
Berkshire,
RG12 8HT",01123045,"20301,
23910,
32990",14.00,8.00,49.00,36.00,30.00,24.00,35.00,65.00,63.00,37.00,65.00,35.00,75.00,25.00,https://www.3m.co.uk/3M/en_GB/careers/inclusion/,"Stella Hegarty (Director, Human Resources)"
A Khan Restaurants Ltd.,"2nd Floor Bradburn House,
64-68 Northumberland Street,
Newcastle,
Tyneside,
United Kingdom,
NE1 7DF",08132730,56103,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,Holly Pearson (Office Manager)
A.J.N. STEELSTOCK LTD.,"Icknield Way, Kentford,
Newmarket,
Suffolk,
CB8 7QT",00689647,46720,16.70,-9.50,2.30,-124.00,65.40,55.90,80.00,20.00,98.60,1.40,88.40,11.60,84.30,15.70,https://www.ajnsteelstock.co.uk/wp-content/uploads/2017/12/Gender-Pay-Gap-Report.pdf,Courtney Bell (Finance Director)
A3D2 Ltd.,"NOVUS LEISURE LIMITED,
Third Floor, Clareville House,
26-27 Oxendon Street,
London,
United Kingdom,
SW1Y 4EL",03506401,56301,-5.00,-7.00,-42.00,-110.00,24.00,32.00,60.00,40.00,67.00,33.00,59.00,41.00,47.00,53.00,,Sarah Miller (Operations Director)
Abbotsford Care (Glenrothes) Ltd.,"Unit 4 Midfield Drive,
Dunnikier Business Park,
Kirkcaldy,
Scotland,
KY1 3LW",SC370558,86102,-1.30,0.00,0.00,0.00,0.00,0.00,15.00,85.00,22.50,77.50,20.40,79.60,16.00,84.00,,Kelly McWilliams (Payroll Officer)
Aberlour Child Care Trust,"36 Park Terrace,
Stirling,
Stirlingshire,
United Kingdom,
FK8 2JR",SC312912,96090,7.00,0.00,0.00,0.00,0.00,0.00,15.60,84.40,18.80,81.20,17.00,83.00,20.30,79.70,https://d1ssu070pg2v9i.cloudfront.net/pex/aberlour/2018/01/12131702/Gender-Pay-Gap-Report-2017.pdf,SallyAnn Kelly (CEO)
Accenture (UK) Ltd.,"30 Fenchurch Street,
London,
United Kingdom,
EC3M 3BD",04757301,70229,16.70,10.20,52.00,33.40,61.60,62.50,54.70,45.30,64.00,36.00,67.60,32.40,72.10,27.90,https://www.accenture.com/gb-en/company-news-release-gender-pay-gap-data,Olly Benzecry (Country Managing Director)
Acenta Steel Ltd.,"Planetary Road,
Willenhall,
West Midlands,
United Kingdom,
WV13 3SW",03725308,"24100,
24310",7.20,3.40,0.00,0.00,0.00,0.00,81.00,19.00,89.00,11.00,90.00,10.00,88.00,12.00,http://acentasteel.com/scw-content/uploads/2017/12/Gender-Pay-Gap-Reporting.pdf,Jane Withers (Financial Director)
ACHILLES INFORMATION LIMITED,"7 , Burnbank Business Centre,
Souterhead Road, Altens,
Aberdeen,
AB12 3LF",SC137975,63110,23.00,5.00,43.00,22.00,70.00,75.00,47.00,53.00,62.00,38.00,67.00,33.00,76.00,24.00,,Jay Katzen (CEO)
Aci Worldwide (Emea) Ltd.,"55-57 Clarendon Road,
Watford,
Hertfordshire,
United Kingdom,
WD17 1FQ",02310474,"62020,
70100",11.90,20.30,27.20,37.10,84.70,76.60,61.30,38.70,65.80,34.20,80.30,19.70,71.10,28.90,,David King (VP Services)
ADNAMS PLC,"East Green,, Southwold,,
Suffolk,
IP18 6JW",00031114,"11010,
11050,
46342,
47250",10.00,9.00,63.00,43.00,99.00,99.00,50.00,50.00,59.00,41.00,68.00,32.00,70.00,30.00,http://adnams.co.uk/equal-pay-statement-and-gender-pay-gap/,Andy Wood (CEO)
Advanced Travel Partners UK Ltd,"Rivercastle House,
10 Leake Street,
London,
United Kingdom,
SE1 7NN",02515255,79110,30.00,26.00,0.00,0.00,0.00,0.00,11.00,89.00,11.00,89.00,21.00,79.00,41.00,59.00,https://www.atpi.com,Peter Farrow (Head of HR)
"Advisory, Conciliation and Arbitration Service","Euston Tower,
London,
NW1 3JJ",,1,7.10,0.00,-4.50,0.00,44.00,43.00,37.60,62.40,36.50,63.50,41.10,58.90,51.70,48.30,http://www.acas.org.uk/index.aspx?articleid=5985,
Age UK North Tyneside,"Bradbury Centre,
13 Saville Street West,
North Shields,
Tyne & Wear,
United Kingdom,
NE29 6QP",01763579,88100,4.70,0.00,0.00,0.00,0.00,0.00,12.70,87.30,18.30,81.70,0.00,100.00,8.50,91.50,https://www.ageuk.org.uk/northtyneside/,Angela Dawson (Head of Corporate Support)
Aim Aviation (Jecco) Ltd.,"1 Viscount Road, Aviation Business Park,
Bournemouth International Airport, Hurn,
Christchurch,
England,
BH23 6BU",01004276,30300,29.90,34.30,37.50,36.70,40.60,55.30,50.00,50.00,86.00,14.00,86.00,14.00,89.00,11.00,,Mark Stoddart (Chief Financial Officer)
Air Business Ltd.,"4 The Merlin Centre,
Acrewood Way,
St. Albans,
Hertfordshire,
United Kingdom,
AL4 0JY",01977067,53202,4.80,8.90,67.30,0.00,32.00,26.00,41.00,59.00,45.00,55.00,45.00,55.00,66.00,34.00,,Lisa Satterthwaite (Group Head of HR)
Airbus Defence And Space Ltd.,"Gunnels Wood Road,
Stevenage,
Hertfordshire,
United Kingdom,
SG1 2AS",02449259,32990,19.10,20.40,34.50,0.00,89.00,89.00,69.50,30.50,80.60,19.40,86.40,13.60,90.50,9.50,http://www.airbus.com/content/dam/corporate-topics/corporate-social-responsibility/ethics-and-compliance/airbus-uk-gender-pay-gap-statement-250118.pdf,"Cornelia Thieme (Head of HR UK, Airbus Defence & Space Ltd)"
Airbus Operations Ltd.,"Pegasus House Aerospace Avenue,
Filton,
Bristol,
United Kingdom,
BS34 7PA",03468788,30300,2.30,-0.30,-12.40,-83.70,97.00,89.00,87.00,13.00,96.10,3.90,92.60,7.40,90.00,10.00,http://www.airbus.com/content/dam/corporate-topics/corporate-social-responsibility/ethics-and-compliance/airbus-uk-gender-pay-gap-statement-250118.pdf,"Mark Stewart (General Manager and HR Director, Airbus Operations Ltd)"
ALCOHOL & DRUGS ACTION,"7, Hadden Street,
Aberdeen,
AB11 6NU",SC094162,88990,0.70,2.10,0.00,0.00,0.00,0.00,13.00,87.00,20.00,80.00,33.00,67.00,13.00,87.00,,Mike Sim (Business & Finance Manager)
Aldermore Bank PLC,"1st Floor, Block B,
Western House Lynch Wood,
Peterborough,
United Kingdom,
PE2 6FZ",00947662,64191,29.90,35.70,43.70,37.60,85.00,85.00,43.00,57.00,45.00,55.00,60.00,40.00,78.00,22.00,https://www.aldermore.co.uk/media/4139/aldermore_gender_pay_gap_report.pdf,Rob Divall (Group HR Director)
Alliance Disposables Ltd.,"Alliance House,
Marshfield Bank,
Crewe,
Cheshire,
United Kingdom,
CW2 8UY",03747333,47190,0.70,-4.50,13.70,-40.00,94.00,95.00,80.40,19.60,79.10,20.90,78.40,21.60,66.90,33.10,http://www.alliancenational.co.uk,Paul Bonson (Director)
Alliance In Partnership Ltd.,"8-9 Borough Court,
Grammar School Lane,
Halesowen,
West Midlands,
United Kingdom,
B63 3SW",03577003,56290,25.10,11.90,0.00,0.00,0.00,0.00,5.00,95.00,2.00,98.00,1.00,99.00,15.00,85.00,http://allianceinpartnership.co.uk/,Angela Austin (Financial Director)
ALLIANCE MEDICAL LIMITED,"Iceni Centre, Warwick Technology Park,
Warwick,
CV34 6DA",02128897,"86101,
86220,
86900",20.00,21.00,36.00,38.00,11.00,5.00,17.00,83.00,31.00,69.00,40.00,60.00,44.00,56.00,https://www.alliancemedical.co.uk/who-we-are/governance,Peter Winchester (HR Director)
AMTICO INTERNATIONAL LIMITED,"Kingfield Road, Coventry,
Warwickshire,
CV6 5AA",02303706,22290,8.40,-1.30,66.80,52.40,46.00,83.00,75.00,25.00,75.00,25.00,69.00,31.00,74.00,26.00,https://www.amtico.com/media/2216383/amtico-gender-pay-gap-reporting-2017-qsf-hr0079.pdf,Jason Shelley (Human Resources Director)
Anglian Water Services Ltd.,"Lancaster House Lancaster Way,
Ermine Business Park,
Huntingdon,
Cambridgeshire,
United Kingdom,
PE29 6XU",02366656,"36000,
37000,
70100",10.10,16.90,16.80,-8.70,93.50,89.90,52.00,48.00,74.00,26.00,85.00,15.00,73.00,27.00,http://www.anglianwater.co.uk/about-us/thinking-about-our-future/,Peter Simpson (Chief Executive)
Apollo Fire Detectors Ltd.,"36 Brookside Road,
Havant,
Hampshire,
United Kingdom,
PO9 1JR",01483208,27900,27.00,17.00,66.00,12.00,78.00,82.00,42.00,58.00,32.00,68.00,49.00,51.00,69.00,31.00,https://www.apollo-fire.co.uk/about/gender-equality,Charles Lombard (Managing Director)
Arjo Wiggins Fine Papers Ltd.,"Eversheds House,
70 Great Bridgewater Street,
Manchester,
United Kingdom,
M1 5ES",00961440,17120,3.20,0.70,-44.00,-32.60,78.20,56.60,80.00,20.00,89.00,11.00,91.00,9.00,81.00,19.00,http://www.arjowiggins.com/environment-our-commitment/?lang=en,Martin Newell (Finance Director)
Arnold Clark Automobiles Ltd.,"454 Hillington Road,
Glasgow,
Scotland,
G52 4FH",SC036386,"45111,
45112,
45200",14.60,10.80,34.00,66.10,90.80,89.20,86.70,13.30,76.50,23.50,61.20,38.80,80.70,19.30,https://www.arnoldclark.com/gender-pay-gap-report,Carol Henry (Human Resources Director)
Arnold Clark Finance Ltd..,"454 Hillington Road,
Glasgow,
Scotland,
G52 4FH",SC039597,77110,-5.20,-15.00,-8.60,-43.00,89.30,78.40,48.00,52.00,48.60,51.40,83.40,16.60,63.40,36.60,https://www.arnoldclark.com/gender-pay-gap-report,Carol Henry (Human Resources Director)
ARRK EUROPE LIMITED,"Caldwell Road, Nuneaton,
Warwickshire,
CV11 4NG",03418673,32990,7.20,-2.10,62.70,56.80,3.80,5.00,84.00,16.00,84.00,16.00,81.00,19.00,87.00,13.00,https://www.arrkeurope.com/fileadmin/user_upload/Company/arrk-companys/arrk-europe-limited/ARRK_Europe_Ltd._Gender_Pay_Report_April_2017.pdf,Simon Holmes (Finance Director)
Arthur David (Food With Service) Ltd.,"Hillside Farm Sutton Wick,
Bishop Sutton,
Bristol,
United Kingdom,
BS39 5XR",02059424,46310,9.00,0.00,8.00,16.00,43.00,8.00,60.20,39.80,73.50,26.50,76.20,23.80,77.50,22.50,,Joanne Didcott (HR Manager)
"Arts Club(London),Ltd.(The)","40 Dover Street,
Piccadilly,
London,
United Kingdom,
W1S 4NP",00047802,94990,-14.80,0.00,-169.10,-5.70,94.60,95.40,59.40,40.60,92.80,7.20,63.80,36.20,53.60,46.40,,Rémy Lysé (Chief Operating Officer)
Asd Ltd.,"Valley Farm Road,
Stourton,
Leeds,
United Kingdom,
LS10 1SD",01370600,46720,-10.60,-15.40,15.80,0.00,69.70,73.80,92.80,7.20,92.20,7.80,84.50,15.50,80.80,19.20,https://www.kloecknermetalsuk.com/wp-content/uploads/2016/12/Gender-Pay-Gap.pdf,Kaha Avaliani (Executive Vice President region West)
ASPIRE HOUSING LIMITED,"Kingsley, The Brampton,
Newcastle Under Lyme,
ST5 0QW",IP031218,,8.20,12.90,0.00,0.00,0.00,0.00,53.00,47.00,53.00,47.00,61.00,39.00,62.00,38.00,https://aspirehousing.co.uk/about-us/performance/gender-pay-gap-report/,Sinéad Butters (Group Chief Executive)
Aston Manor Ltd.,"Deykin Avenue,
Birmingham,
United Kingdom,
B6 7BH",01699439,"11030,
11050",6.00,-16.00,77.00,23.00,17.00,16.00,81.00,19.00,82.00,18.00,95.00,5.00,83.00,17.00,http://www.astonmanor.co.uk,James Ellis (Chief Financial Officer)
Atb Group UK Ltd.,"Hardy Road,
Norwich,
Norfolk,
United Kingdom,
NR1 1JN",06241009,27110,30.00,22.00,83.00,78.00,7.00,19.00,78.50,21.50,90.00,10.00,97.20,2.80,97.20,2.80,http://www.atbgroup.co.uk/careers/,"Ian Lomax (Chairman, Managing Director)"
Audley Court Ltd.,"Swan Court,
Kingsbury Crescent,
Staines,
Middlesex,
United Kingdom,
TW18 3BA",05160167,68100,48.60,1.00,85.80,67.80,30.70,18.80,32.10,67.90,30.20,69.80,18.90,81.10,45.30,54.70,,Nick Sanderson (CEO)
Autism Together,"Wirral Centre For Autism Oak House (Unit C),
6 Tebay Road Bromborough,
Wirral,
Merseyside,
United Kingdom,
CH62 3PA",02658268,87200,-0.70,0.00,0.00,0.00,0.00,0.00,48.00,52.00,45.00,55.00,44.00,56.00,41.00,59.00,http://www.autismtogether.co.uk/2017-2018-gender-pay-gap-data/,Jim Strain (HR & OD Director)
Avante Care And Support Ltd.,"De Gelsey House,
1 Jubilee Way,
Faversham,
Kent,
United Kingdom,
ME13 8GD",02565021,"87300,
88100,
88990",18.20,8.80,84.30,92.90,4.00,3.80,6.00,94.00,8.00,92.00,10.00,90.00,12.00,88.00,http://avantecare.org.uk/join-us/avante-gender-pay-gap-report/,Deborah Pert (Finance Director)
AVIVA EMPLOYMENT SERVICES LIMITED,"St  Helen's, 1 Undershaft,
London,
EC3P 3DQ",03280551,96090,27.00,26.40,55.60,38.60,91.50,93.20,41.00,59.00,43.00,57.00,55.00,45.00,67.00,33.00,https://www.aviva.com/about-us/uk-gender-pay-gap-report-2017/,Sarah Morris (Chief People Officer)
Aviva Investors Employment Services Ltd.,"St Helen's, 1 Undershaft,
London,
United Kingdom,
EC3P 3DQ",03884917,82990,23.80,21.00,46.40,55.60,88.70,88.10,45.00,55.00,62.00,38.00,71.00,29.00,76.00,24.00,https://www.aviva.com/about-us/uk-gender-pay-gap-report-2017/,Sarah Morris (Chief People Officer)
Awe PLC,"Atomic Weapons Establishment,
Aldermaston,
Reading,
Berkshire,
United Kingdom,
RG7 4PR",02763902,32990,12.90,16.70,-31.20,-20.00,2.60,1.70,68.40,31.60,76.10,23.90,82.20,17.80,86.80,13.20,http://www.awe.co.uk/app/uploads/2017/12/AWE-2017_GenderPayGapReport.pdf,Iain Coucher (CEO)
Axminster Tool Centre Ltd,"Unit 10 Weycroft Avenue,
Axminster,
Devon,
United Kingdom,
EX13 5PH",03326979,"46620,
47789",10.00,5.00,-10.00,-17.00,34.00,34.00,55.00,45.00,65.00,35.00,74.00,26.00,84.00,16.00,,Jane Boulton (Human Resources Director)
Bags Etc Ltd.,"Riverside House,
River Way,
Harlow,
Essex,
United Kingdom,
CM20 2DW",04773542,47789,26.80,0.00,27.30,25.90,39.60,51.80,13.00,87.00,13.00,87.00,11.00,89.00,26.50,73.50,,Colin Gillingwater (Financial Controller)
BAILEY EMPLOYMENT SERVICES LIMITED,"Unit 1, Topaz,
Topaz Way,
Bromsgrove,
Worcestershire,
England,
B61 0GD",02831657,"78200,
96090",-3.90,-4.80,-161.00,-78.00,2.60,6.20,59.00,41.00,76.00,24.00,51.00,49.00,62.00,38.00,,Andrew Sweeney (Director)
Baker Tilly Management Ltd.,"6th Floor 25 Farringdon Street,
London,
United Kingdom,
EC4A 4AB",03077999,82990,14.80,21.50,-3.30,0.00,75.00,78.50,16.00,84.00,45.40,54.60,45.80,54.20,58.00,42.00,,Penrose Foss (General Counsel)
BALANS RESTAURANTS LIMITED,"60 , Old Compton Street,
London,
W1D 4UG",08410036,56101,5.90,11.10,19.90,10.30,9.80,18.10,64.40,35.60,72.90,27.10,54.20,45.80,69.50,30.50,,Zsolt Kocsis (Payroll Manager)
Bank of England,"Threadneedle Street,
London,
EC2R 8AH",,1,21.00,24.20,23.60,25.60,87.00,89.00,43.00,57.00,51.00,49.00,62.00,38.00,70.00,30.00,http://www.bankofengland.co.uk/publications/Pages/news/2017/gender-pay-gap-report.aspx,
BARFOOTS OF BOTLEY LIMITED,"Sefter Farm, Pagham Road,
Bognor Regis,
PO21 3PX",02383478,46310,26.80,-4.80,86.30,-12.50,90.00,95.00,91.00,9.00,58.00,42.00,51.00,49.00,79.00,21.00,http://www.barfoots.com/app/uploads/2017/08/Barfoots_2017_Gender_Pay_Gap_Report-.pdf,Nicholas Lake (Finance Director)
Barking & Dagenham College,"Dagenham Road,
Romford,
Essex,
United Kingdom,
RM7 0XU",,"1,
85320",8.00,15.00,100.00,100.00,2.00,0.00,30.00,70.00,36.00,64.00,57.00,43.00,51.00,49.00,http://bdc.pixl8-hosting.co.uk/en/about-the-college/gender-pay.cfm,
Barnet Council,"Building 4,
Oakleigh Road South North London Business Park,
London,
London,
United Kingdom,
N11 1NP",,"1,
84110",-5.00,0.00,0.00,0.00,0.00,0.00,41.50,58.50,38.50,61.50,50.00,50.00,60.00,40.00,,
Batley Multi Academy Trust,"Batley Girls' High School,
Windmill Lane,
Batley,
WF17 0LD",07732537,"1,
85310",22.90,49.10,0.00,0.00,0.00,0.00,7.10,92.90,11.40,88.60,29.00,71.00,28.20,71.80,https://www.batleygirls.co.uk/wp-content/uploads/2018/01/GenderPayGap-WebsiteInformation.pdf,
BDO SERVICES LIMITED,"55 , Baker Street,
London,
W1U 7EU",07020023,82990,18.30,21.20,45.10,25.00,49.50,49.50,43.10,56.90,45.40,54.60,54.70,45.30,63.50,36.50,https://www.bdo.co.uk/en-gb/about/legal-regulatory,Paul Eagland (Managing Partner)
Be Modern Ltd.,"19-34 Bedesway Bede Industrial Estate,
Jarrow,
Tyne And Wear,
United Kingdom,
NE32 3BE",00829005,31090,2.50,-27.70,57.90,0.00,92.00,96.50,97.40,2.60,84.40,15.60,67.50,32.50,75.30,24.70,,John Harris (Group Financial Director)
Beacon Bingo Ltd.,"Seebeck House 1a Seebeck Place,
Knowlhill,
Milton Keynes,
Buckinghamshire,
United Kingdom,
MK5 8FR",02095117,92000,25.70,11.50,78.30,0.00,16.20,7.80,34.70,65.30,50.20,49.80,50.20,49.80,63.20,36.80,http://praesepeplc.com/,Nick Harding (CEO)
BELLS OF LAZONBY LIMITED,"Edenholme Bakery, Lazonby,
Penrith,
CA10 1BG",00500802,10710,9.30,4.40,-4.90,0.00,13.40,5.20,54.40,45.60,57.40,42.60,60.30,39.70,72.10,27.90,http://www.bellsoflazonby.co.uk,Philip Callaghan (Operations Director)
Berneslai Homes Ltd,"PO Box 627,
Barnsley,
S70 9FZ",,1,9.50,13.00,15.30,81.20,81.00,19.00,22.00,78.00,77.00,23.00,61.00,39.00,61.00,39.00,https://www.berneslaihomes.co.uk/about-berneslai-homes/our-gender-pay/,
Bhid Group Ltd.,"Broadoak Business Park Ashburton Road West,
Trafford Park,
Manchester,
Greater Manchester,
United Kingdom,
M17 1RW",09003127,31090,12.60,12.80,0.00,0.00,0.00,0.00,57.30,42.70,73.80,26.20,75.70,24.30,75.70,24.30,,William Keith Bennett (Finance Director)
Biffa Environmental Municipal Services Ltd.,"Coronation Road,
Cressex Business Park,
High Wycombe,
Buckinghamshire,
England,
HP12 3TZ",00905800,"38110,
38120,
38320",-18.00,-5.70,-127.30,0.00,57.80,27.00,95.00,5.00,97.90,2.10,92.90,7.10,92.10,7.90,https://www.biffa.co.uk/wp-content/uploads/2017/12/Biffa-Group-Gender-Pay-Report_final.pdf,Jane Pateman (Group HR Director)
Biffa Municipal Ltd.,"Coronation Road, Cressex,
High Wycombe,
Buckinghamshire,
England,
HP12 3TZ",04321212,38110,-8.00,0.80,-18.30,19.40,37.20,19.50,92.90,7.10,95.60,4.40,96.80,3.20,92.40,7.60,https://www.biffa.co.uk/wp-content/uploads/2017/12/Biffa-Group-Gender-Pay-Report_final.pdf,Jane Pateman (Group HR Director)
BIFFA WASTE SERVICES LIMITED,"Coronation Road, Cressex,
High Wycombe,
HP12 3TZ",00946107,"38110,
38120,
38210,
38220",-1.40,3.60,13.80,-7.00,63.10,57.70,77.80,22.20,85.20,14.80,86.90,13.10,81.10,18.90,https://www.biffa.co.uk/wp-content/uploads/2017/12/Biffa-Group-Gender-Pay-Report_final.pdf,Jane Pateman (Group HR Director)
Bighams Ltd.,"2 Mcnicol Drive,
London,
United Kingdom,
NW10 7AW",03233191,10850,-3.00,-2.00,-55.00,22.00,95.00,88.00,67.00,33.00,72.00,28.00,75.00,25.00,55.00,45.00,,Lauri Duncan (Head of People)
BILFINGER INDUSTRIAL SERVICES UK LIMITED,"Axis House, Tudor Road Manor Park,
Runcorn,
WA7 1BD",05384376,"42990,
43210,
43991,
43999",32.60,39.90,-184.60,-82.00,19.60,13.20,79.00,21.00,98.00,2.00,99.00,1.00,97.00,3.00,http://www.is-uk.bilfinger.com/company/gender-gap-report/,Paula Amesbury (Finance Director)
BLACK SWAN INTERNATIONAL LIMITED,"The Union Building, 51-59 Rose Lane,
Norwich,
England,
NR1 1BY",02621410,87300,4.10,5.00,80.20,0.00,7.40,3.50,13.00,87.00,14.50,85.50,14.50,85.50,34.10,65.90,http://www.blackswan.co.uk/equality/,Tom Lyons (Managing Director)
Bodycote Heat Treatments Ltd.,"Springwood Court Springwood Close,
Tytherington Business Park,
Macclesfield,
Cheshire,
United Kingdom,
SK10 2XF",01025652,25610,18.90,9.60,100.00,100.00,8.50,0.00,81.70,18.30,92.10,7.90,86.20,13.80,90.30,9.70,http://www.bodycote.com/,Michelle MacKerman (Senior HR Business Partner)
Bon Accord Care Ltd.,"Inspire Building,
Beach Boulevard,
Aberdeen,
Scotland,
AB24 5HP",SC416826,88100,-3.60,-1.20,0.00,0.00,0.00,0.00,13.10,86.90,6.40,93.60,9.80,90.20,6.90,93.10,http://www.bonaccordcare.org/corporate-information/,Alistair MacLean (Finance Director)
Boreal Ltd.,"Carn Business Park,
19 Carn Road,
Portadown,
Co Armagh,
United Kingdom,
BT63 5WG",NI027859,41100,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,NOEL EAKIN (DIRECTOR)
Borough of Poole,"Civic Centre,
Poole,
BH15 2RU",,"1,
84110",2.90,-2.20,0.00,0.00,0.00,0.00,38.20,61.80,30.10,69.90,30.20,69.80,34.10,65.90,http://www.poole.gov.uk/your-council/how-the-council-works/strategies-plans-and-policies/staff-salaries-and-allowances/,
Bowdraper Ltd.,"Manor Farm Barns, Old Milverton,
Leamington Spa,
Warwickshire,
United Kingdom,
CV32 6SA",01344739,81210,5.30,0.00,3848.20,3848.20,0.70,0.50,25.00,75.00,30.00,70.00,18.00,82.00,24.00,76.00,https://bowdraper.co.uk,andrew parkin (managing director)
BPDTS,"Tothill Street,
London,
SW1H 9NA",,1,2.30,-5.50,0.00,0.00,0.00,0.00,85.30,14.70,79.00,21.00,74.70,25.30,84.20,15.80,https://www.gov.uk/government/publications/bpdts-ltd-gender-pay-gap-report-and-data-2017/bpdts-ltds-gender-pay-gap-report-2017,
Bracknell Forest Council,"Time Square,
Market Street,
Bracknell,
Berkshire,
United Kingdom,
RG12 1JD",,"1,
84110",16.30,23.30,17.10,20.90,32.60,67.40,9.10,90.90,20.90,79.10,24.20,75.80,24.90,75.10,,
Brampton Manor Trust,"Roman Road,
London,
United Kingdom,
E6 3SQ",07540236,"1,
85310,
85320",21.70,22.00,0.00,0.00,0.00,0.00,15.50,84.50,40.00,60.00,34.60,65.40,46.80,53.20,http://www.bramptonmanor.org,
British Broadcasting Corporation,"BBC Broadcasting House,
Portland Place,
W1A 1AA",RC000057,1,10.70,9.30,20.30,0.00,8.60,9.00,41.90,58.10,50.50,49.50,58.50,41.50,62.20,37.80,http://downloads.bbc.co.uk/aboutthebbc/insidethebbc/reports/gender_pay_gap_report.pdf,
British Medical Association,"Bma House British Medical Association,
Tavistock Square,
London,
United Kingdom,
WC1H 9JP",00008848,"74909,
94200",13.90,13.60,4.60,0.00,41.00,39.00,25.00,75.00,37.00,63.00,37.00,63.00,48.00,52.00,http://www.bma.org.uk/about-us/equality-diversity-and-inclusion/gender-pay-report-for-bma-bmj-staff,Keith Ward (Chief Executive)
Broadland District Council,"Thorpe Lodge,
1 Yarmouth Road,
Norwich,
NR7 0DU",,"1,
84110",26.80,25.50,0.00,0.00,0.00,0.00,19.40,80.60,22.40,77.60,29.90,70.10,51.50,48.50,https://www.broadland.gov.uk/downloads/download/382/gender_pay_data,
BROMFORD HOUSING GROUP LIMITED,"Brabourne Ave,
Wolverhampton Business Park,
Wolverhampton,
WV10 6AU",IP29996R,,7.10,11.40,0.70,0.00,90.80,93.40,37.00,63.00,30.00,70.00,66.00,34.00,56.00,44.00,https://www.bromford.co.uk/media/8809/gender-paygap-document-v8.pdf,Philippa Jones (Chief Executive)
Brooksby Melton College,"Asfordby Road,
Melton Mowbray,
Leicestershire,
United Kingdom,
LE13 0HJ",,"1,
85320",12.10,20.00,0.00,0.00,0.00,0.00,11.90,88.10,33.10,66.90,26.60,73.40,40.00,60.00,,
Broxtowe Borough Council,"Town Hall,
Foster Avenue,
Beeston,
Nottingham,
Nottinghamshire,
United Kingdom,
NG9 1AB",,"1,
84110",6.60,0.00,0.00,0.00,0.00,0.00,51.20,48.80,43.20,56.80,48.00,52.00,58.40,41.60,https://www.broxtowe.gov.uk/media/4322/gender-pay-gap-data-march-2017.pdf,
Brunelcare,"Saffron Gardens Prospect Place,
Whitehall,
Bristol,
United Kingdom,
BS5 9FF",00601847,"87300,
88100",18.70,7.30,77.20,33.30,9.50,9.30,10.60,89.40,10.20,89.80,13.60,86.40,24.60,75.40,https://www.brunelcare.org.uk/,Kevin Fairman (Chief Executive)
Brunning And Price Ltd.,"Yew Tree Farm Buildings,
Saighton,
Chester,
Cheshire,
United Kingdom,
CH3 6EG",01543132,56302,9.80,0.00,21.50,19.80,21.20,10.70,53.20,46.80,47.70,52.30,48.20,51.80,69.50,30.50,http://www.brunningandprice.co.uk/downloads/company/gender-pay-gap-report.pdf,Jane Wilson (Head of HR)
Bsw Heating Ltd,"3 Old Barn Lane,
Kenley,
Surrey,
United Kingdom,
CR8 5AT",01047746,43220,33.70,46.50,80.90,76.90,4.80,9.60,37.50,62.50,55.40,44.60,85.70,14.30,87.50,12.50,,Juliet Morgan (Associate HR Director)
Bulloughs Cleaning Services Ltd.,"Craven House,
Carleton New Road,
Skipton,
North Yorkshire,
United Kingdom,
BD23 2DE",02101304,81210,-0.60,0.00,-2.40,0.00,3.30,1.10,24.30,75.70,22.50,77.50,26.40,73.60,25.20,74.80,http://bullough.co.uk/gender-pay-gap-reporting/,Duncan Bullough (Managing Director)
Butcher's Pet Care Ltd.,"Baker Group House,
Dockham Way,
Crick,
Northamptonshire,
United Kingdom,
NN6 7TZ",01716195,10920,4.00,0.00,10.00,0.00,90.00,58.00,66.00,34.00,81.00,19.00,81.00,19.00,68.00,32.00,,Francis Powell (Finance Director)
BWB CONSULTING LIMITED,"5th, Floor,
Waterfront House Station Street,
Nottingham,
NG2 3DQ",05265863,"42110,
71121,
74901",20.40,26.90,0.00,0.00,0.00,0.00,60.60,39.40,65.10,34.90,80.00,20.00,84.80,15.20,http://www.bwbconsulting.com/downloads,Steve Wooler (Chief Executive)
Cambridgeshire Fire & Rescue Service,"Hinchingbrooke Cottage,
Brampton Road,
Huntingdon,
PE29 2NA",,1,18.60,13.90,0.60,0.00,61.40,26.00,67.00,33.00,76.00,24.00,84.00,16.00,92.00,8.00,http://www.cambsfire.gov.uk/CFRS_Gender_Pay_Gap_Report_2017_.pdf,
Cambridgeshire Police,"Police Headquarters,
Hinchingbrooke Park,
Huntingdon,
PE29 6NP",,"1,
84240",10.90,13.10,-6.50,-566.70,1.00,1.40,43.80,56.20,52.30,47.70,61.50,38.50,74.00,26.00,https://www.cambs.police.uk/news-and-appeals/Gender-pay-gap-2017,
