EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
Network Rail Infrastructure Ltd.,"1 Eversholt Street,
London,
United Kingdom,
NW1 2DN",02904587,"41100,
49100,
49200,
68100",7.00,11.00,-11.00,0.00,99.00,99.00,77.00,23.00,84.00,16.00,88.00,12.00,87.00,13.00,https://www.networkrail.co.uk/who-we-are/diversity-and-inclusion/network-rail-gender-pay-gap-report-2017/,Alison Rumsey (Group Human Resources Director)
New Charter Housing Trust Ltd.,"Cavendish 249 Cavendish Street,
Ashton Under Lyne,
Tameside,
United Kingdom,
OL6 7AT",03807262,68201,8.40,-2.60,0.00,0.00,94.00,97.40,54.40,45.60,26.20,73.80,23.00,77.00,56.00,44.00,http://www.newcharter.co.uk,Ian Munro (Group Chief Executive)
New College Durham,"Framwellgate Morr Campus,
Framwellgate Moor,
Durham,
County Durham,
United Kingdom,
DH1 5ES",,"1,
85320",13.20,25.60,0.00,0.00,0.00,0.00,30.60,69.40,31.20,68.80,46.50,53.50,43.00,57.00,http://www.newcollegedurham.ac.uk/the-college/equality-diversity-inclusion/,
Newcastle City Council,"Civic Centre,
Newcastle Upon Tyne,
Tyne And Wear,
United Kingdom,
NE1 8QH",,"1,
84110",4.50,6.70,0.00,0.00,0.00,0.00,28.90,71.10,49.40,50.60,56.90,43.10,42.90,57.10,,
NHS Digital,"1 Trevelyan Square,
Leeds,
LS1 6AE",,1,16.10,14.10,0.00,0.00,0.00,0.00,42.00,58.00,53.00,47.00,62.00,38.00,69.00,31.00,https://digital.nhs.uk/Our-workforce-demographics,
NHS Resolution formerly NHS Litigation Authority,"151 Buckingham Palace Road,
London,
SW1W 9SZ",,1,8.30,8.10,0.00,0.00,0.00,1.00,32.00,68.00,44.00,56.00,37.00,63.00,49.00,51.00,,
Niab.,"Huntingdon Road Cambridge,
United Kingdom,
CB3 0LE",03395389,"1110,
1610,
72190",7.50,1.50,-28.00,0.00,7.60,9.90,47.00,53.00,37.00,63.00,46.00,54.00,56.00,44.00,,Susan Arnold (Finance Director)
Niftylift Ltd.,"Niftylift Limited Chalkdell Drive,
Shenley Wood,
Milton Keynes,
United Kingdom,
MK5 6GF",01264184,28990,-0.30,0.40,70.90,29.80,92.90,93.80,94.50,5.50,89.20,10.80,98.20,1.80,89.20,10.80,http://www.niftylift.com/uk,Kerry Lyall (HR/Payroll Manager)
Nmb-Minebea UK Ltd,"Doddington Road,
Lincoln,
United Kingdom,
LN6 3RA",02194706,25990,3.10,-22.00,15.00,0.00,75.80,81.40,85.90,14.10,90.80,9.20,81.50,18.50,84.40,15.60,,Alison Robinson (Finance & Administration Manager)
North Ayrshire Leisure Ltd.,"Montgomerie House Byrehill Drive,
West Byrehill Industrial Estate,
Kilwinning,
Scotland,
KA13 6HN",SC202978,"93110,
93199",10.50,0.20,0.00,0.00,0.00,0.00,45.00,55.00,44.00,56.00,41.00,59.00,28.00,72.00,,Lorne Campbell (Business Manager (Development))
