Code,Median,Mean
2825,582.4,665.8
2829,498.4,579
283,465,556.4
2830,465,556.4
284,540.5,577.9
2841,538,558.8
2849,560,602.9
289,546.6,605.9
2891,,577
2892,565.8,628.2
2893,478.7,508.5
2894,,609.7
2895,411.7,485.9
2896,,379.1
2899,610.8,665.5
29,574.7,653.5
291,662,750.9
2910,662,750.9
292,404.1,451.6
2920,404.1,451.6
293,432.4,519.8
2931,327.6,334.9
2932,438.8,526
30,662.1,722.3
301,572.9,649.2
3011,629.4,676.7
3012,489.6,568
302,593.5,690.3
3020,593.5,690.3
303,723.3,765.1
3030,723.3,765.1
304,520,562.9
3040,520,562.9
309,410,459.8
3091,,531.2
3092,400.4,439.7
3099,,
31,380,453.5
310,380,453.5
3101,421,500.2
3102,368,452.8
3103,383.3,516.6
3109,363.7,409.2
32,431.9,505.6
321,,471.8
3211,494.6,524
3212,,460
3213,,
322,,339.6
3220,,339.6
323,383.3,406.9
3230,383.3,406.9
324,,573.7
3240,,573.7
325,453.3,555.3
3250,453.3,555.3
329,377,434.5
3291,,442
3299,371.4,433.6
33,558.7,640.2
331,542.3,631.3
3311,409.9,488.2
3312,570.3,643.2
3313,436.5,467.4
3314,,555.9
3315,481.1,596.5
3316,671.8,736.5
3317,750.4,742
3319,,611.8
332,597.7,675.9
3320,597.7,675.9
D,672.1,744.6
35,672.1,744.6
351,670.8,745
3511,804.6,880.9
3512,,
3513,628.1,704.7
3514,431,539.7
352,677.1,743.5
3521,849.8,935.1
3522,642.3,697.5
3523,632.4,634.1
353,,
3530,,
E,493.9,564.8
36,568.9,642.9
360,568.9,642.9
3600,568.9,642.9
37,523.1,562.5
370,523.1,562.5
3700,523.1,562.5
38,450,532.7
381,445.7,539.1
3811,441.4,536.7
3812,,
382,494.7,579
3821,430.7,515.9
3822,613.9,656.1
383,421.1,459.6
3831,,
3832,421.7,461.5
39,449.8,518.4
390,449.8,518.4
3900,449.8,518.4
F,518.2,592.1
41,563.7,670
411,574.9,740.1
4110,574.9,740.1
412,558.1,655
4120,558.1,655
42,560,638.3
421,527.8,589.6
4211,529.4,591.3
4212,,586.7
4213,457.8,511.1
422,506.6,566.3
4221,,
4222,526.9,586.8
429,574.9,667.6
4291,,540.9
4299,574.9,669.3
43,492.4,528.5
431,468.2,534.7
4311,553.8,605.2
4312,448.9,501.6
4313,431.6,467.4
432,517.9,539
4321,527.3,542.5
4322,497.7,540.7
4329,498.2,512.5
433,450.1,488.1
4331,494.2,586.1
4332,445.7,487.6
4333,441.5,481.2
4334,428.6,459.5
4339,462.1,501.7
439,496.4,556.5
4391,459.2,511.3
4399,503.1,571.6
G,335.4,402.1
45,400,443.4
451,403.5,464.6
4511,402.5,462.8
4519,435.2,488
452,402.4,415.6
4520,402.4,415.6
453,380.1,443.6
4531,392.4,469.5
4532,351.8,391.4
454,381.3,436.8
4540,381.3,436.8
46,460,566.1
461,437,591.9
4611,,368.7
4612,,
4613,380.3,444
4614,533,571.6
4615,,304.4
4616,,334.7
4617,382.2,410.9
4618,558.9,715.1
4619,,
462,400.3,504.2
4621,479.3,584.3
4622,329.8,422.3
4623,,
4624,,
463,410,509.2
4631,389.8,516
4632,338.4,356.8
4633,360.7,461.3
4634,509.2,728.1
4635,,
4636,439.8,487
4637,,540.9
4638,386.6,491.5
4639,405.3,460
464,448.6,581.6
4641,436.7,514.8
4642,381.8,508.5
4643,517.3,632.2
4644,468.8,512.7
4645,380.9,496.6
4646,609.4,750
4647,480.9,585.2
4648,,431.2
4649,366.9,491.1
465,538.3,688.1
4651,579.6,755.6
4652,505,618.8
466,512.9,592.8
4661,460,480.5
4662,578.8,617.9
4663,547,604.5
4664,,
4665,651.4,781.9
4666,490.9,580.7
4669,512.7,600.1
467,452.4,544.3
4671,553.3,737.1
4672,430.8,538.7
4673,439.3,506.2
4674,448.8,537.3
4675,554.2,682.9
4676,434.3,552
4677,419.1,541.9
469,439,560.8
4690,439,560.8
47,256.8,316.1
471,231.4,289.8
4711,231.1,286.5
4719,233,299.6
472,250.9,280.6
4721,196.9,244.1
4722,300,296.1
4723,,218.8
4724,238.3,281.8
4725,,312.4
4726,337.7,330.3
4729,217.9,252.8
473,335.6,576
4730,335.6,576
474,358.6,516.5
4741,358.3,369.3
4742,,
4743,,386.3
475,326.6,355.6
4751,,293.3
4752,309.4,345.5
4753,376.5,416.7
4754,326.4,340.5
4759,344.8,366.6
476,233.7,276.5
4761,239.1,239.3
4762,168.1,220
4763,,372.4
4764,276,302.9
4765,,342.1
477,262.5,321.1
4771,241.4,320.7
4772,183.8,259.7
4773,262.5,330.3
4774,390.6,442.8
4775,208.3,277.1
4776,273.2,305.1
4777,318.9,371.3
4778,295.6,334.6
4779,296.5,355.4
478,,184.3
4781,128.4,143.9
4782,,
4789,,
479,369.9,501.8
4791,373.7,512
4799,349,425
H,469.6,552.7
49,468.9,526
491,697.1,744.7
4910,697.1,744.7
492,768.4,746.7
4920,768.4,746.7
493,458.8,520.9
4931,499.1,582.5
4932,224.8,260.2
4939,389.2,381
494,440.5,466
4941,440.2,464.5
4942,438.8,496.4
495,481.7,487.8
4950,481.7,487.8
50,582.4,693.8
501,569.1,707.7
5010,569.1,707.7
502,,662.6
5020,,662.6
503,,
5030,,
504,,
5040,,
51,623.8,759.3
511,624.5,761.3
5110,624.5,761.3
512,581.6,639.1
5121,581.6,639.1
5122,,
52,490,591.9
521,423.8,493.2
5210,423.8,493.2
522,540,662.1
5221,593.8,690.7
5222,537.2,633.2
5223,540.6,728.4
5224,479.8,650.7
5229,496.5,575
53,431.8,472
531,430.3,460.3
5310,430.3,460.3
532,434.1,492.1
5320,434.1,492.1
I,238.6,278.2
55,299,322.3
551,296.8,320.2
5510,296.8,320.2
552,284.7,307.1
5520,284.7,307.1
553,298.5,323.4
5530,298.5,323.4
559,404.1,443.7
5590,404.1,443.7
56,224.2,265.9
561,216.3,256.2
5610,216.3,256.2
562,276.2,321.3
5621,268.1,315.1
5629,279.9,327
563,198.9,250.7
5630,198.9,250.7
J,653.8,765.5
58,567.3,666.1
581,548.7,652
5811,521,634.3
5812,,
5813,524.8,654.4
5814,605.8,664.3
5819,,636.1
582,735.5,828
5821,,883.9
5829,706.8,821.8
59,505.3,642.5
591,492.5,643.1
5911,641.4,732.2
5912,614.6,769.3
5913,947.2,1326.4
5914,176.7,244.2
592,,636.5
5920,,636.5
60,723.5,822.9
601,580.8,633.8
6010,580.8,633.8
602,741.2,848.9
6020,741.2,848.9
61,612.3,729.2
611,607.5,717
6110,607.5,717
612,737.7,833.1
6120,737.7,833.1
613,460.5,447.8
6130,460.5,447.8
619,620.3,731.5
6190,620.3,731.5
62,685.4,794.3
620,685.4,794.3
6201,678.8,797.4
6202,685,773
6203,,411.5
6209,695.5,844.2
63,766.6,928.1
631,768.6,934
6311,697.9,787.6
6312,1190.2,1383.6
639,715.7,913.3
6391,973.7,1101.8
6399,424,467.8
K,661.6,909.1
64,700,954.9
641,720.9,981.8
6411,,1330.9
6419,709.1,974.1
642,,
6420,,
643,1245.7,1354.9
6430,1245.7,1354.9
649,549.8,741.4
6491,650.5,710
6492,479.1,649.1
6499,674.6,860.9
65,637.1,769.3
651,636,765.7
6511,748.3,879.7
6512,563.5,711.6
652,,988.5
6520,,988.5
653,,
6530,,
66,623.6,883.8
661,653.2,926.3
6611,,953.3
6612,535.5,799.3
6619,670.8,949.7
662,551.2,760.5
6621,551.4,704.9
6622,550.3,761.9
6629,556.8,769.6
663,1042.6,1368.6
6630,1042.6,1368.6
L,449.7,509.7
68,449.7,509.7
681,,348.4
6810,,348.4
682,474.9,527.3
6820,474.9,527.3
683,421.4,492.5
6831,405.9,477
6832,431.5,515.2
M,574.9,700.1
69,536.6,674.5
691,527,688.6
6910,527,688.6
692,548.1,660.3
6920,548.1,660.3
70,574.9,742.3
701,645.1,860.5
7010,645.1,860.5
702,555.9,710.7
7021,574.9,790.3
7022,555.8,706
71,619.4,720.3
711,636.9,738.4
7111,646.4,715.8
7112,633.6,743
712,495.5,574.9
7120,495.5,574.9
72,715.8,812.2
721,723.5,828.7
7211,778.7,
7219,721.1,813.3
722,522.8,557.9
7220,522.8,557.9
73,581.8,702
731,593.8,727.7
7311,574.9,728.4
7312,640.3,724.7
732,574.9,627.3
7320,574.9,627.3
74,498.3,587.2
741,536.6,637.9
7410,536.6,637.9
742,383.3,479.8
7420,383.3,479.8
743,370.8,403.6
7430,370.8,403.6
749,481.5,582.1
7490,481.5,582.1
75,379,456.8
750,379,456.8
7500,379,456.8
N,341.4,411.2
77,450,523.9
771,420.7,528.4
7711,403.3,509.6
7712,523.3,606.3
772,375.9,441.8
7721,450.7,441.9
7722,,
7729,348.4,441.7
773,465.8,530.5
7731,382.5,454.2
7732,460.1,534
7733,,437.7
7734,,
7735,471.8,505.9
7739,475.8,536.8
774,,633.1
7740,,633.1
78,317.4,370.5
781,340.8,403.7
7810,340.8,403.7
782,313.1,364.1
7820,313.1,364.1
783,452,566.6
7830,452,566.6
79,399.9,500.1
791,392.9,495.2
7911,383.3,474.8
7912,404.7,524.2
799,466.7,571.1
7990,466.7,571.1
80,387,404.1
801,386,398.8
8010,386,398.8
802,468,487.2
8020,468,487.2
803,,
8030,,
81,278,328
811,405.4,456.3
8110,405.4,456.3
812,156.4,228.1
8121,147.9,208.7
8122,,336.7
8129,253.5,313.2
813,352,370.9
8130,352,370.9
82,394.4,548.3
821,460,669
8211,439.8,734.7
8219,460,545.1
822,306.6,414.8
8220,306.6,414.8
823,563.4,641
8230,563.4,641
829,407.9,552.7
8291,401.3,542.3
8292,366.7,507.4
8299,421.6,559.9
O,545.2,570.1
84,545.2,570.1
841,487.8,532.5
8411,470,512.1
8412,654.4,688.1
8413,570.3,721.5
842,633.4,635.3
8421,674.1,764.2
8422,549.6,606.7
8423,489.4,541.2
8424,728.1,672.4
8425,596,574.9
843,446.7,436.6
8430,446.7,436.6
P,434.5,487.8
85,434.5,487.8
851,242.6,272.5
8510,242.6,272.5
852,396,442.9
8520,396,442.9
853,458.2,497.9
8531,464.6,512.3
8532,433.4,458.4
854,595.6,628.4
8541,412.3,424.9
8542,613.4,642
855,383.9,454.9
8551,,
8552,,284
8553,,563.3
8559,403.3,467.1
856,518.4,578
8560,518.4,578
Q,373,454.8
86,430.3,517.1
861,441.1,542
8610,441.1,542
862,286.1,359.8
8621,282.9,367.7
8622,342.2,429.8
8623,291.7,322.7
869,423.2,500.3
8690,423.2,500.3
87,296,340.5
871,291.2,344.1
8710,291.2,344.1
872,341.9,384.8
8720,341.9,384.8
873,281.3,319.7
8730,281.3,319.7
879,306.9,349.8
8790,306.9,349.8
88,299,339.3
881,280,303.6
8810,280,303.6
889,308.7,357
8891,259.5,266.1
8899,365.1,405.4
R,302.2,431.2
90,453.6,596.5
900,453.6,596.5
9001,472,698
9002,,536.1
9003,498.3,573.8
9004,,400.4
91,408.2,451
910,408.2,451
9101,461.8,535.8
9102,409.3,455.9
9103,278.3,350
9104,414,448.6
92,324.9,372.9
920,324.9,372.9
9200,324.9,372.9
93,243.5,418.3
931,248.7,435.3
9311,194.3,260.3
9312,265.4,
9313,276.3,329.5
9319,392.2,534.5
932,211.7,286.3
9321,,272.6
9329,213.3,295.4
S ,348.5,415.4
94,410.6,460.4
941,594.1,738.6
9411,542.2,711.7
9412,605.1,749.5
942,656,666.6
9420,656,666.6
949,353.6,373.5
9491,358,354.9
9492,,278.1
9499,352.5,393.3
95,455.6,584.3
951,544.8,661.9
9511,546.1,690
9512,,489.5
952,367.1,367.4
9521,,421.3
9522,375.7,358
9523,329.1,342.1
9524,350,352.5
9525,327,367.4
9529,367.3,335.4
96,281.3,336.3
960,281.3,336.3
9601,283.7,328
9602,204.4,228.4
9603,374.2,360.3
9604,,371.8
9609,399.9,468.3
T ,144.6,215.1
97,144.6,215.1
970,144.6,215.1
9700,144.6,215.1
98,,
981,,
9810,,
982,,
9820,,
U ,,552.6
99,,552.6
990,,552.6
9900,,552.6
,335.5,436
